ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
GO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,ELEITO
MT,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PRETA,40 – 44 anos,SIM,SIM,N,NÃO ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,45 – 49 anos,NAO,NAO,N,ELEITO
GO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,NAO,N,ELEITO
GO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,70 – 74 anos,NAO,NAO,N,NÃO ELEITO
MT,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,ELEITO
GO,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,ELEITO
GO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
MS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
GO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
MT,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
MT,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
MT,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
MS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
MT,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
MT,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,VIÚVO(A),BRANCA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
MS,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,S,NÃO ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
GO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
