ANO_ELEICAO,ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,IDADE,FAIXA_ETARIA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
2020,RN,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,VIÚVO(A),PARDA,48.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,N,NÃO ELEITO
2020,GO,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),SEM INFORMAÇÃO,65.0,60 OU SUPERIOR,65 – 69 ANOS,NAO,NAO,N,ELEITO
2020,PI,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,48.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,N,ELEITO
2020,RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,57.0,50 – 59 ANOS,55 – 59 ANOS,SIM,NAO,S,NÃO ELEITO
2020,SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40.0,40 – 49 ANOS,40 – 44 ANOS,NAO,NAO,N,NÃO ELEITO
2020,BA,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,43.0,40 – 49 ANOS,40 – 44 ANOS,NAO,NAO,N,ELEITO
2020,AC,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,38.0,30 – 39 ANOS,35 – 39 ANOS,SIM,NAO,N,ELEITO
2020,MG,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,38.0,30 – 39 ANOS,35 – 39 ANOS,NAO,NAO,N,ELEITO
2020,RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40.0,40 – 49 ANOS,40 – 44 ANOS,SIM,NAO,N,ELEITO
2020,SP,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,75.0,60 OU SUPERIOR,75 OU SUPERIOR,NAO,SIM,N,NÃO ELEITO
2020,MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50.0,50 – 59 ANOS,50 – 54 ANOS,SIM,NAO,N,ELEITO
2020,MA,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),PARDA,59.0,50 – 59 ANOS,55 – 59 ANOS,SIM,NAO,N,NÃO ELEITO
2020,SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40.0,40 – 49 ANOS,40 – 44 ANOS,NAO,NAO,N,NÃO ELEITO
2020,SP,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,57.0,50 – 59 ANOS,55 – 59 ANOS,SIM,SIM,N,NÃO ELEITO
2020,BA,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,59.0,50 – 59 ANOS,55 – 59 ANOS,SIM,NAO,S,NÃO ELEITO
2020,MG,MASCULINO,SUPERIOR COMPLETO,VIÚVO(A),PARDA,59.0,50 – 59 ANOS,55 – 59 ANOS,SIM,NAO,S,ELEITO
2020,PE,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,49.0,40 – 49 ANOS,45 – 49 ANOS,SIM,SIM,N,NÃO ELEITO
